quarter,leaderboard_id,lb_name,feature,psi,cohen_h,cohen_d,ks_stat,n_test,unseen_count,scope_note
2023-Q1,6,rm_1v1,faction,0.009941,,,,3557860,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q1,6,rm_1v1,won,,0.0,,,3557860,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q1,18,qp_rm_1v1,faction,0.008601,,,,418022,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q1,18,qp_rm_1v1,won,,0.0,,,418022,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q2,6,rm_1v1,faction,0.057879,,,,3454826,5144,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q2,6,rm_1v1,won,,0.0,,,3454826,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q2,18,qp_rm_1v1,faction,0.192363,,,,412174,6737,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q2,18,qp_rm_1v1,won,,0.0,,,412174,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q3,6,rm_1v1,faction,0.260191,,,,3266196,68886,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q3,6,rm_1v1,won,,0.0,,,3266196,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q3,18,qp_rm_1v1,faction,0.197365,,,,437640,7489,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q3,18,qp_rm_1v1,won,,0.0,,,437640,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q4,6,rm_1v1,faction,0.453742,,,,3410326,123697,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q4,6,rm_1v1,won,,0.0,,,3410326,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q4,18,qp_rm_1v1,faction,0.432814,,,,466536,16957,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2023-Q4,18,qp_rm_1v1,won,,0.0,,,466536,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q1,6,rm_1v1,faction,0.399188,,,,3612696,115114,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q1,6,rm_1v1,won,,0.0,,,3612696,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q1,18,qp_rm_1v1,faction,0.367777,,,,498096,15097,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q1,18,qp_rm_1v1,won,,0.0,,,498096,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q2,6,rm_1v1,faction,0.443552,,,,3700302,130938,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q2,6,rm_1v1,won,,0.0,,,3700302,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q2,18,qp_rm_1v1,faction,0.359477,,,,418152,11995,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q2,18,qp_rm_1v1,won,,0.0,,,418152,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q3,6,rm_1v1,faction,0.462318,,,,3584016,131253,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q3,6,rm_1v1,won,,0.0,,,3584016,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q3,18,qp_rm_1v1,faction,0.368304,,,,447322,13321,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q3,18,qp_rm_1v1,won,,0.0,,,447322,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q4,6,rm_1v1,faction,0.497545,,,,3637446,143422,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q4,6,rm_1v1,won,,0.0,,,3637446,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q4,18,qp_rm_1v1,faction,0.38537,,,,482520,14271,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
2024-Q4,18,qp_rm_1v1,won,,0.0,,,482520,0,[WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]
