quarter,n_active,fraction_active,n_ever_seen,churn_rate
2022-Q3,88755,0.20994330076143033,422757,0.7900566992385697
2022-Q4,99734,0.23591330244088213,422757,0.7900566992385697
2023-Q1,122482,0.2897219915932793,422757,0.7640866975591178
2023-Q2,113815,0.26922085264111534,422757,0.7102780084067206
2023-Q3,106336,0.251529838654357,422757,0.7307791473588847
2023-Q4,109471,0.25894544620195525,422757,0.748470161345643
2024-Q1,111508,0.26376381703910284,422757,0.7410545537980447
2024-Q2,108177,0.25588458618071375,422757,0.7362361829608972
2024-Q3,103385,0.2445494693168889,422757,0.7441154138192863
2024-Q4,103175,0.2440527300553273,422757,0.7554505306831111
