quarter_iso,total_variance,drift_attributable_to_patch_pct,intra_patch_temporal_pct,note
2022-Q3,,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2022-Q4,0.0,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2023-Q1,0.0,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2023-Q2,0.0,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2023-Q3,0.0,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2023-Q4,0.0,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2024-Q1,0.0,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2024-Q2,0.0,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2024-Q3,,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
2024-Q4,0.0,,,Chitayat et al. 2023 arxiv.org/abs/2305.18477 Beyond the Meta
