quarter_start,quarter_iso,patch_number,n_rows,win_rate_agg,quarter_total,share_of_row_count
2022-07-01,2022-Q3,66692,37632,0.5,37632,1.0
2022-10-01,2022-Q4,66692,105036,0.5,159112,0.6601387701744683
2022-10-01,2022-Q4,73855,54076,0.5,159112,0.3398612298255317
2023-01-01,2023-Q1,73855,330486,0.5,845564,0.3908468194010152
2023-01-01,2023-Q1,78174,515078,0.5,845564,0.6091531805989848
2023-04-01,2023-Q2,78174,453580,0.5,3485606,0.13012945238216828
2023-04-01,2023-Q2,81058,626402,0.5,3485606,0.179711074630925
2023-04-01,2023-Q2,82587,734300,0.5,3485606,0.21066638053755932
2023-04-01,2023-Q2,83607,1564050,0.5,3485606,0.44871680849757545
2023-04-01,2023-Q2,87863,107274,0.5,3485606,0.030776283951771944
2023-07-01,2023-Q3,87863,1967692,0.5,2802462,0.7021297701806483
2023-07-01,2023-Q3,93001,834770,0.5,2802462,0.2978702298193517
2023-10-01,2023-Q4,93001,1108338,0.5,3385088,0.3274177805717311
2023-10-01,2023-Q4,95810,1549088,0.5,3385088,0.4576211903501475
2023-10-01,2023-Q4,99311,727662,0.5,3385088,0.21496102907812145
2024-01-01,2024-Q1,99311,2073602,0.5,3586266,0.5782064130212315
2024-01-01,2024-Q1,104954,789426,0.5,3586266,0.22012477602051828
2024-01-01,2024-Q1,107882,723238,0.5,3586266,0.20166881095825018
2024-04-01,2024-Q2,107882,1267330,0.5,3376140,0.37537839070654655
2024-04-01,2024-Q2,111772,2108810,0.5,3376140,0.6246216092934535
2024-07-01,2024-Q3,111772,1382090,0.5,1382090,1.0
2024-10-01,2024-Q4,111772,108584,0.5,2942920,0.03689668764356489
2024-10-01,2024-Q4,125283,2834336,0.5,2942920,0.9631033123564351
