n_min,quarter_iso,n_active_cohort,n_rows
5,2023-Q1,956,27922
5,2023-Q2,1035,165308
5,2023-Q3,913,118555
5,2023-Q4,856,136690
5,2024-Q1,813,122247
5,2024-Q2,782,107693
5,2024-Q3,644,43368
5,2024-Q4,677,83669
10,2023-Q1,95,4566
10,2023-Q2,133,27079
10,2023-Q3,117,18828
10,2023-Q4,104,20300
10,2024-Q1,101,18706
10,2024-Q2,99,17021
10,2024-Q3,81,7676
10,2024-Q4,84,12978
20,2023-Q1,2,375
20,2023-Q2,2,1361
20,2023-Q3,1,742
20,2023-Q4,1,891
20,2024-Q1,2,861
20,2024-Q2,1,893
20,2024-Q3,2,242
20,2024-Q4,1,512
